iter	MultiClass
0	1.608475649
1	1.607127703
2	1.605745796
3	1.604148739
4	1.602815563
5	1.601322508
6	1.600244355
7	1.598449766
8	1.597410253
9	1.596546362
10	1.595347588
11	1.593968548
12	1.592666512
13	1.591625432
14	1.590274085
15	1.58922024
16	1.588282155
17	1.587029741
18	1.585618865
19	1.584265894
20	1.582476351
21	1.581220209
22	1.580291591
23	1.57916158
24	1.577932077
25	1.576832808
26	1.57599252
27	1.574908585
28	1.573689306
29	1.572710339
30	1.571381663
31	1.569905961
32	1.568848218
33	1.567729788
34	1.566793966
35	1.565753139
36	1.564738283
37	1.563539371
38	1.56244925
39	1.561568049
40	1.560585777
41	1.55921348
42	1.558167366
43	1.557041181
44	1.555936387
45	1.554675565
46	1.553580804
47	1.552550896
48	1.551506143
49	1.550099078
50	1.549035499
51	1.547447498
52	1.546510103
53	1.545204456
54	1.54407092
55	1.54269312
56	1.541722398
57	1.540435062
58	1.53945513
59	1.538333812
60	1.537383817
61	1.535838139
62	1.534906656
63	1.533877168
64	1.532718216
65	1.531639524
66	1.530482888
67	1.529365557
68	1.52815367
69	1.527053807
70	1.525812999
71	1.524844862
72	1.522716475
73	1.52193871
74	1.520903704
75	1.519925029
76	1.518968624
77	1.518025862
78	1.516627326
79	1.515683683
80	1.514573031
81	1.513706127
82	1.512602251
83	1.511525207
84	1.510455831
85	1.509359335
86	1.508267058
87	1.50717754
88	1.506058994
89	1.504967168
90	1.503981576
91	1.503094546
92	1.50223978
93	1.501306272
94	1.500227841
95	1.499530449
96	1.498363758
97	1.497252909
98	1.49623704
99	1.494874292
100	1.493660594
101	1.492542136
102	1.491456086
103	1.490424205
104	1.489400583
105	1.488058338
106	1.486902479
107	1.485678686
108	1.484627076
109	1.483810585
110	1.482460887
111	1.481497098
112	1.479798437
113	1.478530263
114	1.47760426
115	1.476611408
116	1.475548438
117	1.47452482
118	1.473551149
119	1.472546338
120	1.47162887
121	1.470590059
122	1.469460713
123	1.46840293
124	1.467520918
125	1.466565988
126	1.465826152
127	1.464366633
128	1.463217117
129	1.462208113
130	1.460901553
131	1.460106379
132	1.459182829
133	1.458273078
