iter	Passed	Remaining
0	120	361756
1	176	265218
2	234	234742
3	291	218273
4	348	208454
5	406	202791
6	462	197748
7	518	194021
8	576	191621
9	635	190122
10	690	187651
11	746	185984
12	803	184703
13	860	183447
14	915	182152
15	971	181135
16	1026	180199
17	1086	179921
18	1142	179243
19	1199	178663
20	1261	178907
21	1315	178092
22	1371	177489
23	1427	176986
24	1486	176872
25	1541	176370
26	1598	176041
27	1655	175715
28	1713	175496
29	1769	175174
30	1825	174854
31	1882	174589
32	1940	174445
33	1995	174049
34	2052	173856
35	2109	173669
36	2166	173471
37	2223	173292
38	2280	173138
39	2339	173115
40	2394	172842
41	2450	172550
42	2506	172359
43	2562	172171
44	2617	171902
45	2673	171656
46	2729	171504
47	2785	171291
48	2841	171114
49	2897	170949
50	2953	170783
51	3008	170579
52	3064	170404
53	3119	170170
54	3175	170028
55	3232	169925
56	3287	169747
57	3344	169633
58	3398	169430
59	3453	169243
60	3554	171277
61	3610	171100
62	3666	170914
63	3725	170916
64	3783	170830
65	3839	170687
66	3896	170576
67	3952	170410
68	4009	170296
69	4065	170164
70	4123	170127
71	4178	169917
72	4232	169717
73	4288	169559
74	4344	169445
75	4399	169249
76	4454	169106
77	4514	169111
78	4574	169149
79	4634	169160
80	4692	169120
81	4749	169014
82	4805	168889
83	4861	168779
84	4919	168714
85	4977	168650
86	5037	168660
87	5113	169218
88	5173	169210
89	5232	169182
90	5290	169116
91	5348	169050
92	5404	168936
93	5461	168856
94	5519	168770
95	5578	168738
96	5635	168666
97	5693	168599
98	5749	168483
99	5807	168430
100	5875	168630
101	5930	168501
102	5986	168380
103	6042	168258
104	6098	168146
105	6154	168042
106	6212	167982
107	6269	167881
108	6333	167989
109	6390	167896
110	6449	167858
111	6509	167839
112	6568	167828
113	6626	167761
114	6698	168037
115	6754	167925
116	6813	167894
117	6869	167771
118	6924	167642
119	6983	167597
120	7039	167500
121	7097	167429
122	7155	167358
123	7210	167244
124	7266	167118
125	7322	167021
126	7378	166909
127	7436	166859
128	7495	166813
129	7552	166732
130	7609	166651
131	7667	166591
132	7724	166512
133	7780	166413
134	7835	166295
135	7892	166200
136	7949	166118
137	8004	165999
138	8061	165928
139	8116	165801
140	8172	165718
141	8228	165609
142	8283	165503
143	8339	165409
144	8398	165356
145	8456	165313
146	8513	165226
147	8569	165144
148	8627	165079
149	8683	164992
150	8738	164874
151	8795	164796
152	8849	164670
153	8908	164638
154	8964	164544
155	9019	164425
156	9074	164332
157	9130	164225
158	9186	164135
159	9243	164067
160	9298	163958
161	9357	163932
162	9412	163821
163	9468	163734
164	9524	163652
165	9582	163595
166	9638	163502
167	9694	163415
168	9748	163309
169	9803	163203
170	9858	163100
171	9914	163009
172	9969	162908
173	10026	162840
174	10084	162791
175	10141	162729
176	10198	162651
177	10253	162553
178	10309	162471
179	10365	162386
180	10422	162333
181	10481	162292
182	10537	162211
183	10593	162120
184	10647	162010
185	10703	161933
186	10759	161846
187	10815	161764
188	10869	161661
189	10924	161563
190	10979	161477
191	11037	161417
192	11093	161338
193	11148	161248
194	11210	161251
195	11266	161174
196	11325	161150
197	11383	161087
198	11439	161009
199	11502	161040
200	11560	160984
201	11617	160917
202	11672	160830
203	11731	160790
204	11787	160711
205	11843	160632
206	11900	160566
207	11956	160488
208	12011	160402
209	12070	160359
210	12126	160287
211	12181	160198
212	12240	160155
213	12295	160069
214	12350	159984
215	12406	159904
216	12477	160027
217	12536	159979
218	12594	159926
219	12650	159854
220	12705	159772
221	12761	159684
222	12819	159634
223	12875	159561
224	12933	159510
225	12999	159563
226	13058	159522
227	13114	159440
228	13168	159348
229	13225	159275
230	13281	159208
231	13338	159141
232	13395	159083
233	13452	159012
234	13511	158972
235	13566	158891
236	13625	158850
237	13682	158782
238	13737	158703
239	13793	158620
240	13848	158543
241	13904	158464
242	13960	158388
243	14016	158318
244	14074	158261
245	14132	158211
246	14190	158163
247	14245	158077
248	14302	158016
249	14357	157928
250	14414	157869
251	14470	157802
252	14528	157741
253	14583	157665
254	14638	157584
255	14692	157485
256	14747	157399
257	14801	157311
258	14856	157228
259	14911	157144
260	14968	157085
261	15025	157025
262	15082	156961
263	15138	156892
264	15195	156829
265	15250	156751
266	15306	156678
267	15362	156605
268	15417	156521
269	15474	156468
270	15530	156394
271	15588	156340
272	15645	156279
273	15700	156203
274	15757	156140
275	15814	156081
276	15871	156023
277	15928	155959
278	15983	155885
279	16040	155822
280	16095	155745
281	16152	155685
282	16210	155635
283	16271	155608
284	16327	155544
285	16383	155473
286	16440	155411
287	16497	155350
288	16553	155286
289	16612	155244
290	16668	155170
291	16724	155099
292	16781	155041
293	16837	154970
294	16891	154888
295	16946	154809
296	17001	154734
297	17060	154687
298	17115	154615
299	17172	154551
300	17227	154472
301	17283	154404
302	17337	154324
303	17394	154259
304	17451	154202
305	17510	154163
306	17569	154122
307	17625	154049
308	17679	153968
309	17735	153896
310	17793	153851
311	17848	153768
312	17902	153686
313	17957	153612
314	18013	153539
315	18068	153470
316	18122	153386
317	18178	153320
318	18236	153265
319	18292	153201
320	18348	153132
321	18406	153081
322	18463	153022
323	18520	152963
324	18574	152883
325	18631	152821
326	18686	152751
327	18742	152680
328	18798	152619
329	18853	152545
330	18911	152488
331	18966	152414
332	19021	152347
333	19076	152271
334	19136	152238
335	19191	152161
336	19246	152091
337	19302	152024
338	19358	151956
339	19414	151892
340	19473	151851
341	19528	151774
342	19584	151704
343	19640	151643
344	19695	151566
345	19749	151490
346	19804	151415
347	19860	151348
348	19915	151275
349	19970	151205
350	20028	151153
351	20084	151090
352	20147	151079
353	20209	151056
354	20265	150990
355	20322	150932
356	20377	150859
357	20433	150793
358	20487	150720
359	20544	150659
360	20600	150592
361	20655	150523
362	20710	150453
363	20765	150380
364	20824	150335
365	20879	150266
366	20935	150200
367	20994	150156
368	21050	150091
369	21105	150020
370	21160	149948
371	21216	149885
372	21271	149815
